epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.979,2.61994,2.34658,2.113,0.65626,0.24889,0.2629,0.10452,2.15732,2.07564,1.92255,0.0700239,0.00333068,0.00333068
2,950.768,2.12296,1.75658,1.76816,0.34003,0.38198,0.36426,0.16255,1.98191,1.80166,1.79232,0.0399579,0.00659804,0.00659804
3,1408.71,1.96912,1.53585,1.6651,0.5008,0.42872,0.44313,0.21464,1.81497,1.55417,1.65843,0.00982592,0.0097994,0.0097994
4,1864.97,1.88421,1.41435,1.6089,0.53149,0.49299,0.48945,0.23849,1.79326,1.40574,1.63164,0.009703,0.009703,0.009703
5,2323.42,1.82805,1.31091,1.57124,0.53056,0.45719,0.47918,0.22157,1.8494,1.49325,1.67637,0.009604,0.009604,0.009604
6,2781.4,1.79062,1.24667,1.53903,0.58991,0.53249,0.54948,0.27606,1.73258,1.28403,1.59721,0.009505,0.009505,0.009505
7,3239.3,1.7548,1.20124,1.51036,0.56765,0.52632,0.55606,0.27733,1.69888,1.27539,1.55089,0.009406,0.009406,0.009406
8,3695.1,1.72415,1.1495,1.49968,0.63511,0.5696,0.60979,0.3147,1.64116,1.14443,1.52714,0.009307,0.009307,0.009307
9,4151.86,1.72172,1.12932,1.4894,0.63547,0.5541,0.60908,0.31253,1.64827,1.20795,1.53446,0.009208,0.009208,0.009208
10,4609.39,1.69365,1.08677,1.46543,0.68134,0.60263,0.65468,0.33879,1.61143,1.13338,1.50932,0.009109,0.009109,0.009109
11,5065.73,1.66879,1.07292,1.4553,0.70696,0.59039,0.64863,0.33964,1.60703,1.08688,1.4999,0.00901,0.00901,0.00901
12,5521.62,1.6626,1.05406,1.44946,0.67574,0.59933,0.65725,0.3438,1.60831,1.08283,1.50181,0.008911,0.008911,0.008911
13,5978.35,1.65206,1.03632,1.44432,0.73158,0.6286,0.69788,0.37033,1.58678,1.00863,1.48175,0.008812,0.008812,0.008812
