epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.82,1.72407,1.87956,1.22285,0.68757,0.63153,0.65135,0.32487,1.63254,1.26599,1.22878,0.0700952,0.00332275,0.00332275
2,296.25,1.66203,1.05079,1.16697,0.78651,0.7024,0.77678,0.4098,1.54127,0.9885,1.19814,0.0400293,0.00659019,0.00659019
3,442.768,1.67296,1.00933,1.17781,0.70271,0.64749,0.68587,0.34396,1.6198,1.19689,1.26206,0.00989745,0.00979163,0.00979163
4,589.224,1.67873,1.00024,1.18851,0.72485,0.663,0.703,0.35378,1.57333,1.18175,1.26097,0.009703,0.009703,0.009703
5,735.122,1.62056,0.91378,1.16998,0.72913,0.56074,0.62634,0.30427,1.77863,1.2065,1.35116,0.009604,0.009604,0.009604
6,880.76,1.57812,0.86264,1.14958,0.8084,0.72202,0.79339,0.42659,1.51649,0.89646,1.22769,0.009505,0.009505,0.009505
7,1025.77,1.55013,0.8249,1.13998,0.82617,0.71295,0.79052,0.42397,1.52941,0.82639,1.22438,0.009406,0.009406,0.009406
8,1170.42,1.53039,0.79626,1.13284,0.84401,0.77514,0.84219,0.46208,1.48178,0.77016,1.19834,0.009307,0.009307,0.009307
9,1315.28,1.51353,0.77255,1.12436,0.83808,0.77141,0.83442,0.46674,1.4392,0.73339,1.18005,0.009208,0.009208,0.009208
10,1460.28,1.49313,0.75028,1.11526,0.84854,0.76739,0.84414,0.46872,1.47991,0.73012,1.19904,0.009109,0.009109,0.009109
11,1604.97,1.48335,0.73888,1.10823,0.86271,0.79722,0.86217,0.48532,1.41447,0.69165,1.16152,0.00901,0.00901,0.00901
12,1749.72,1.4698,0.72643,1.09841,0.86212,0.80685,0.86718,0.49578,1.42516,0.6898,1.15419,0.008911,0.008911,0.008911
13,1894.52,1.45641,0.71571,1.09154,0.87274,0.81795,0.87529,0.50138,1.39606,0.66864,1.14902,0.008812,0.008812,0.008812
14,2039.58,1.45628,0.70909,1.08686,0.88244,0.81824,0.88367,0.50735,1.37477,0.6584,1.12592,0.008713,0.008713,0.008713
15,2184.36,1.44169,0.69664,1.07922,0.90297,0.82447,0.89634,0.51942,1.37408,0.64456,1.1224,0.008614,0.008614,0.008614
16,2329.24,1.43873,0.69396,1.07553,0.88125,0.83908,0.8977,0.52105,1.36609,0.63092,1.11754,0.008515,0.008515,0.008515
17,2473.78,1.42647,0.68153,1.06918,0.87189,0.82451,0.88968,0.5048,1.40471,0.65351,1.13171,0.008416,0.008416,0.008416
18,2618.22,1.42121,0.67716,1.0681,0.88617,0.85076,0.90514,0.53005,1.34712,0.62141,1.09865,0.008317,0.008317,0.008317
19,2762.81,1.41071,0.66996,1.06414,0.89453,0.84874,0.91387,0.53865,1.34889,0.61335,1.10382,0.008218,0.008218,0.008218
20,2907.72,1.4151,0.66517,1.06319,0.90477,0.84999,0.91672,0.54002,1.35126,0.61822,1.11013,0.008119,0.008119,0.008119
21,3052.62,1.40786,0.66172,1.06172,0.9027,0.84844,0.90911,0.54117,1.3329,0.6034,1.09663,0.00802,0.00802,0.00802
22,3197.52,1.3958,0.65535,1.05607,0.88517,0.84281,0.90582,0.53573,1.33317,0.60375,1.09088,0.007921,0.007921,0.007921
23,3342.13,1.39984,0.65352,1.05607,0.90683,0.86243,0.91901,0.54562,1.33505,0.593,1.09913,0.007822,0.007822,0.007822
24,3486.49,1.3904,0.65037,1.0515,0.89929,0.85618,0.91674,0.54693,1.32377,0.5902,1.0865,0.007723,0.007723,0.007723
25,3631.55,1.39147,0.6473,1.04912,0.90966,0.8607,0.92216,0.55052,1.32239,0.5866,1.08277,0.007624,0.007624,0.007624
26,3776.35,1.38429,0.64141,1.04888,0.90714,0.8731,0.92925,0.55933,1.32155,0.57226,1.08454,0.007525,0.007525,0.007525
27,3920.82,1.37907,0.63766,1.04676,0.90006,0.87069,0.92672,0.55814,1.3173,0.57498,1.07992,0.007426,0.007426,0.007426
28,4065.47,1.37973,0.63756,1.04171,0.91716,0.86938,0.93078,0.5621,1.30771,0.56872,1.07563,0.007327,0.007327,0.007327
29,4210.11,1.37199,0.63084,1.04216,0.91831,0.87994,0.93362,0.56903,1.30108,0.56316,1.06814,0.007228,0.007228,0.007228
30,4355.16,1.36671,0.62628,1.03782,0.90971,0.87343,0.9281,0.56199,1.32585,0.57248,1.08781,0.007129,0.007129,0.007129
31,4499.68,1.36907,0.62723,1.04195,0.91266,0.87314,0.93052,0.55981,1.30944,0.56572,1.07141,0.00703,0.00703,0.00703
32,4644.45,1.36424,0.6232,1.03828,0.91103,0.88831,0.936,0.57214,1.29687,0.5542,1.06927,0.006931,0.006931,0.006931
33,4789.17,1.36222,0.6217,1.03676,0.91068,0.8837,0.93481,0.57377,1.29908,0.5508,1.07479,0.006832,0.006832,0.006832
34,4934.14,1.36178,0.62126,1.03569,0.91743,0.88166,0.93495,0.57442,1.29356,0.54868,1.06811,0.006733,0.006733,0.006733
35,5078.59,1.35525,0.61853,1.03472,0.92059,0.88078,0.93582,0.57452,1.29593,0.54771,1.06366,0.006634,0.006634,0.006634
36,5223.57,1.35517,0.61598,1.03428,0.92084,0.88566,0.93715,0.57787,1.28898,0.54276,1.06584,0.006535,0.006535,0.006535
37,5368.38,1.35393,0.61319,1.03222,0.92336,0.88749,0.93856,0.57562,1.29345,0.54274,1.06497,0.006436,0.006436,0.006436
38,5513.17,1.34986,0.611,1.03338,0.92353,0.88443,0.93743,0.57502,1.29191,0.54519,1.06647,0.006337,0.006337,0.006337
39,5657.73,1.34252,0.60883,1.0286,0.92464,0.88682,0.94034,0.57958,1.28322,0.53725,1.0616,0.006238,0.006238,0.006238
40,5802.6,1.34257,0.6063,1.02846,0.93036,0.88247,0.94074,0.58309,1.28799,0.53623,1.0632,0.006139,0.006139,0.006139
41,5947.3,1.33787,0.60376,1.02468,0.92406,0.89174,0.94222,0.584,1.27524,0.53044,1.05742,0.00604,0.00604,0.00604
42,6092.06,1.33979,0.60167,1.02604,0.92836,0.88712,0.94128,0.58214,1.28101,0.53337,1.0604,0.005941,0.005941,0.005941
43,6236.83,1.337,0.59899,1.02433,0.93069,0.89322,0.9435,0.58716,1.27436,0.52677,1.05729,0.005842,0.005842,0.005842
44,6381.78,1.33211,0.59736,1.02109,0.92678,0.89897,0.94583,0.58798,1.27172,0.52523,1.05406,0.005743,0.005743,0.005743
45,6526.49,1.33494,0.59759,1.02266,0.92972,0.89485,0.94673,0.58992,1.27081,0.5241,1.05509,0.005644,0.005644,0.005644
46,6670.82,1.32818,0.59366,1.02403,0.9309,0.90122,0.94888,0.59333,1.26618,0.51951,1.05179,0.005545,0.005545,0.005545
47,6815.32,1.32217,0.59253,1.02021,0.93188,0.8968,0.9487,0.59085,1.26877,0.5213,1.05233,0.005446,0.005446,0.005446
48,6960.13,1.3241,0.59271,1.01831,0.93127,0.90045,0.94821,0.59295,1.26499,0.51806,1.04856,0.005347,0.005347,0.005347
49,7105.05,1.32407,0.59142,1.0183,0.92643,0.90376,0.95003,0.59361,1.26478,0.51713,1.05066,0.005248,0.005248,0.005248
50,7249.73,1.31632,0.5863,1.01781,0.9275,0.90354,0.95029,0.59663,1.26027,0.51356,1.04706,0.005149,0.005149,0.005149
51,7395.59,1.31522,0.58675,1.01731,0.93088,0.90009,0.95111,0.59698,1.25823,0.5123,1.04632,0.00505,0.00505,0.00505
52,7541.74,1.31321,0.58437,1.01462,0.93322,0.90292,0.94879,0.59738,1.25696,0.51188,1.04554,0.004951,0.004951,0.004951
53,7687.46,1.31552,0.58393,1.0162,0.92821,0.90446,0.95011,0.59579,1.25959,0.5121,1.04557,0.004852,0.004852,0.004852
54,7833.34,1.31299,0.58253,1.01559,0.92686,0.90492,0.95024,0.59589,1.25992,0.51123,1.04834,0.004753,0.004753,0.004753
55,7979.84,1.31144,0.58106,1.01312,0.92889,0.90306,0.95146,0.60136,1.25473,0.50722,1.04474,0.004654,0.004654,0.004654
56,8125.59,1.30113,0.57646,1.01134,0.93258,0.90283,0.95139,0.60011,1.25419,0.50714,1.0433,0.004555,0.004555,0.004555
57,8271.88,1.30745,0.57658,1.01091,0.92648,0.90511,0.95004,0.59902,1.25483,0.50722,1.04509,0.004456,0.004456,0.004456
58,8417.88,1.30008,0.57356,1.01006,0.93743,0.90027,0.95183,0.60129,1.2512,0.50363,1.04295,0.004357,0.004357,0.004357
59,8563.88,1.30022,0.57245,1.0092,0.93248,0.90249,0.95218,0.60183,1.25116,0.50437,1.04406,0.004258,0.004258,0.004258
60,8709.83,1.29868,0.57346,1.01151,0.93229,0.9023,0.95265,0.60408,1.24826,0.50259,1.04305,0.004159,0.004159,0.004159
61,8855.8,1.29316,0.5723,1.00775,0.93701,0.90157,0.95182,0.60441,1.24724,0.50123,1.04205,0.00406,0.00406,0.00406
62,9001.66,1.29442,0.57024,1.00898,0.93487,0.90488,0.95197,0.60385,1.24783,0.49976,1.04163,0.003961,0.003961,0.003961
63,9147.93,1.29249,0.56846,1.00742,0.93931,0.9062,0.95309,0.60509,1.24544,0.4982,1.03989,0.003862,0.003862,0.003862
64,9294.08,1.28833,0.56687,1.00616,0.94094,0.90229,0.95307,0.60573,1.24484,0.49856,1.03941,0.003763,0.003763,0.003763
65,9440.16,1.28539,0.56305,1.00326,0.9401,0.90868,0.95421,0.60598,1.24379,0.49648,1.03893,0.003664,0.003664,0.003664
66,9586.21,1.28695,0.56448,1.00584,0.94281,0.90651,0.95428,0.60712,1.24318,0.49524,1.03922,0.003565,0.003565,0.003565
67,9731.99,1.2807,0.56158,1.00277,0.94032,0.90931,0.95511,0.60727,1.24383,0.49378,1.03984,0.003466,0.003466,0.003466
68,9877.95,1.2851,0.56006,1.00559,0.93747,0.91252,0.95539,0.6082,1.2408,0.49386,1.03881,0.003367,0.003367,0.003367
69,10024.3,1.28174,0.56002,1.00089,0.93844,0.91146,0.95497,0.60904,1.24053,0.49276,1.03797,0.003268,0.003268,0.003268
70,10170.2,1.27592,0.55715,1.0021,0.94132,0.91062,0.95565,0.60985,1.23979,0.49204,1.03731,0.003169,0.003169,0.003169
71,10316.1,1.27316,0.55602,1.00165,0.94119,0.91048,0.95611,0.60973,1.23993,0.49127,1.03752,0.00307,0.00307,0.00307
72,10461.9,1.27022,0.55311,0.99844,0.93966,0.90933,0.9552,0.6105,1.23911,0.49039,1.03737,0.002971,0.002971,0.002971
73,10608,1.26921,0.55447,1.00234,0.94294,0.90953,0.95648,0.61115,1.23812,0.49011,1.03663,0.002872,0.002872,0.002872
74,10753.9,1.26569,0.55051,0.99665,0.94389,0.91019,0.95696,0.61077,1.23852,0.48937,1.03669,0.002773,0.002773,0.002773
75,10900.1,1.26497,0.54819,0.99565,0.94103,0.91132,0.95648,0.61068,1.23784,0.48863,1.03669,0.002674,0.002674,0.002674
76,11046.1,1.26172,0.54752,0.99541,0.93899,0.9135,0.95708,0.61165,1.23713,0.48795,1.03518,0.002575,0.002575,0.002575
77,11192.2,1.26175,0.54842,0.99648,0.9374,0.91463,0.95689,0.61236,1.23633,0.48725,1.03452,0.002476,0.002476,0.002476
78,11338.3,1.25818,0.54556,0.99353,0.94057,0.91288,0.95713,0.61251,1.2362,0.48702,1.03412,0.002377,0.002377,0.002377
79,11483.9,1.25315,0.54272,0.99288,0.93891,0.91622,0.95751,0.61203,1.23559,0.48656,1.03383,0.002278,0.002278,0.002278
80,11630,1.25876,0.54462,0.99425,0.93971,0.91482,0.95807,0.61267,1.23493,0.48574,1.03365,0.002179,0.002179,0.002179
81,11775.9,1.24781,0.5409,0.99185,0.94398,0.91348,0.95879,0.61345,1.23497,0.48508,1.03367,0.00208,0.00208,0.00208
82,11922.1,1.25202,0.54058,0.99167,0.94384,0.91118,0.95818,0.61421,1.23452,0.48457,1.03324,0.001981,0.001981,0.001981
83,12067.6,1.24546,0.53879,0.99201,0.94538,0.91057,0.95817,0.6145,1.23463,0.48407,1.03285,0.001882,0.001882,0.001882
84,12213.3,1.24246,0.53541,0.9898,0.94535,0.91268,0.95882,0.61464,1.23429,0.48341,1.03266,0.001783,0.001783,0.001783
85,12359.1,1.24264,0.53643,0.98998,0.9453,0.91412,0.9596,0.61449,1.23438,0.48319,1.03298,0.001684,0.001684,0.001684
86,12505.1,1.24083,0.5333,0.98842,0.9453,0.91412,0.9598,0.61443,1.23431,0.48278,1.03295,0.001585,0.001585,0.001585
87,12651.2,1.23951,0.53312,0.98847,0.94662,0.91347,0.95875,0.6146,1.23411,0.4824,1.03274,0.001486,0.001486,0.001486
88,12797.2,1.23873,0.53136,0.98922,0.94699,0.91372,0.95988,0.61434,1.23426,0.48218,1.0326,0.001387,0.001387,0.001387
89,12943,1.2347,0.52996,0.98982,0.94708,0.91319,0.95987,0.6145,1.23412,0.48194,1.03257,0.001288,0.001288,0.001288
90,13088.8,1.22843,0.52824,0.98696,0.94749,0.91237,0.95919,0.61483,1.234,0.48193,1.03227,0.001189,0.001189,0.001189
91,13233.3,1.20002,0.50461,0.99324,0.95006,0.91123,0.95947,0.61507,1.23402,0.48168,1.03202,0.00109,0.00109,0.00109
92,13377,1.19299,0.49993,0.99306,0.94933,0.91207,0.96005,0.6154,1.23376,0.48116,1.03196,0.000991,0.000991,0.000991
93,13520.9,1.18472,0.49465,0.9893,0.94917,0.91215,0.95976,0.6156,1.23349,0.48073,1.03191,0.000892,0.000892,0.000892
94,13664.7,1.1808,0.49206,0.98785,0.94798,0.91291,0.95995,0.61585,1.23319,0.48021,1.03179,0.000793,0.000793,0.000793
95,13808.6,1.17617,0.49091,0.98634,0.94731,0.91329,0.96021,0.6158,1.23299,0.47976,1.03163,0.000694,0.000694,0.000694
96,13952.4,1.17411,0.48887,0.98389,0.9475,0.91373,0.96047,0.61601,1.23271,0.47943,1.03147,0.000595,0.000595,0.000595
97,14096.2,1.17068,0.48807,0.98409,0.94839,0.91307,0.96047,0.61604,1.23264,0.47916,1.03149,0.000496,0.000496,0.000496
98,14240,1.16837,0.48513,0.98423,0.9486,0.91322,0.96041,0.61596,1.23242,0.47883,1.03141,0.000397,0.000397,0.000397
99,14383.9,1.1629,0.48373,0.98135,0.94719,0.91329,0.96024,0.61624,1.23236,0.47864,1.03133,0.000298,0.000298,0.000298
100,14527.8,1.16705,0.48291,0.98298,0.94662,0.91361,0.96021,0.61615,1.23229,0.47847,1.03135,0.000199,0.000199,0.000199
