epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.991,2.61015,2.4248,2.60073,0.7089,0.45188,0.5314,0.2443,1.9051,1.40898,2.21918,0.0700239,0.00333068,0.00333068
2,728.384,1.97196,1.4143,1.91581,0.69717,0.523,0.60446,0.29345,1.80443,1.24939,1.96843,0.0399579,0.00659804,0.00659804
3,1072.83,1.92233,1.33763,1.81716,0.6105,0.59336,0.60235,0.30349,1.68897,1.26706,1.83373,0.00982592,0.0097994,0.0097994
4,1412.83,1.84983,1.2828,1.75085,0.66437,0.59677,0.63461,0.31893,1.68872,1.21426,1.81544,0.009703,0.009703,0.009703
5,1754.46,1.77547,1.18626,1.68174,0.72875,0.59905,0.66718,0.35186,1.63084,1.08246,1.75666,0.009604,0.009604,0.009604
6,2094.45,1.71993,1.10862,1.63832,0.74794,0.63122,0.7187,0.37173,1.64568,1.0669,1.74878,0.009505,0.009505,0.009505
7,2435.2,1.6779,1.04863,1.60428,0.75886,0.69766,0.75429,0.40511,1.55162,0.94169,1.67131,0.009406,0.009406,0.009406
8,2774.51,1.6619,1.01104,1.58033,0.7956,0.70777,0.78235,0.43207,1.50523,0.91227,1.63589,0.009307,0.009307,0.009307
9,3114.16,1.64036,0.97806,1.567,0.79867,0.71629,0.79602,0.43318,1.51908,0.91831,1.63909,0.009208,0.009208,0.009208
10,3455.13,1.62594,0.95135,1.5481,0.84324,0.75931,0.84131,0.46126,1.48988,0.84336,1.60886,0.009109,0.009109,0.009109
11,3795.84,1.60111,0.91918,1.53105,0.83234,0.78455,0.84848,0.46323,1.48785,0.81636,1.60994,0.00901,0.00901,0.00901
12,4136.81,1.59977,0.91283,1.53179,0.82119,0.76803,0.83565,0.46218,1.49044,0.82723,1.61263,0.008911,0.008911,0.008911
13,4476.9,1.58093,0.88475,1.52278,0.85598,0.7954,0.86216,0.48506,1.45103,0.81034,1.58851,0.008812,0.008812,0.008812
14,4817.1,1.56971,0.87263,1.51551,0.85043,0.78941,0.8577,0.47676,1.48122,0.78814,1.61152,0.008713,0.008713,0.008713
15,5157.32,1.56375,0.86213,1.50706,0.87836,0.8115,0.88285,0.49439,1.46515,0.76684,1.59727,0.008614,0.008614,0.008614
16,5497.8,1.56139,0.85055,1.50094,0.8601,0.81061,0.87906,0.4928,1.45463,0.75089,1.58654,0.008515,0.008515,0.008515
17,5838.64,1.54836,0.8365,1.49274,0.87472,0.81835,0.88788,0.50282,1.42797,0.73413,1.55987,0.008416,0.008416,0.008416
18,6181.16,1.53934,0.82378,1.48696,0.8678,0.8251,0.88796,0.5003,1.43591,0.72839,1.56271,0.008317,0.008317,0.008317
19,6519.27,1.53274,0.81505,1.48269,0.8763,0.83725,0.90007,0.51381,1.41925,0.70842,1.54845,0.008218,0.008218,0.008218
20,6860.18,1.53142,0.81086,1.4787,0.87911,0.83716,0.90133,0.51693,1.41274,0.70087,1.54538,0.008119,0.008119,0.008119
21,7201.22,1.52966,0.80659,1.47475,0.90044,0.83164,0.90839,0.52176,1.40857,0.68558,1.53742,0.00802,0.00802,0.00802
22,7541.21,1.5166,0.79727,1.47048,0.88956,0.84231,0.90794,0.52134,1.40755,0.68058,1.53926,0.007921,0.007921,0.007921
23,7881.52,1.51762,0.79052,1.46416,0.90371,0.84345,0.91103,0.52633,1.40755,0.67591,1.54079,0.007822,0.007822,0.007822
24,8220.94,1.51255,0.78477,1.46727,0.89617,0.83851,0.90575,0.51961,1.41135,0.68072,1.54215,0.007723,0.007723,0.007723
25,8560.92,1.50154,0.77599,1.4531,0.89016,0.85221,0.91116,0.53099,1.38474,0.66575,1.51999,0.007624,0.007624,0.007624
