epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.191,2.77198,2.12726,2.082,0.41922,0.4746,0.43633,0.18396,2.013,1.36048,1.81317,0.0700239,0.00333068,0.00333068
2,470.77,2.03963,1.2948,1.52791,0.56526,0.53261,0.54022,0.24449,1.85224,1.19954,1.61352,0.0399579,0.00659804,0.00659804
3,694.159,1.95972,1.19618,1.45597,0.64508,0.54969,0.59333,0.2772,1.78402,1.13876,1.54989,0.00982592,0.0097994,0.0097994
4,916.885,1.87046,1.10006,1.40391,0.71536,0.62287,0.67467,0.33235,1.69471,1.02491,1.48689,0.009703,0.009703,0.009703
5,1138.45,1.78195,1.01452,1.35849,0.75489,0.66474,0.71274,0.35731,1.66014,0.9425,1.45967,0.009604,0.009604,0.009604
6,1359.58,1.72091,0.94775,1.32725,0.7244,0.65019,0.70356,0.35841,1.62228,0.89631,1.43226,0.009505,0.009505,0.009505
7,1581.83,1.6804,0.90224,1.30717,0.79471,0.66514,0.73773,0.38558,1.57771,0.84883,1.40381,0.009406,0.009406,0.009406
8,1803.7,1.66205,0.8724,1.28861,0.78779,0.7075,0.76691,0.39606,1.58599,0.82958,1.40139,0.009307,0.009307,0.009307
9,2025.43,1.63681,0.84607,1.27846,0.81096,0.72005,0.78476,0.41662,1.53106,0.77921,1.36918,0.009208,0.009208,0.009208
10,2246.25,1.61751,0.82536,1.263,0.80056,0.71913,0.79009,0.41473,1.55449,0.79553,1.3801,0.009109,0.009109,0.009109
11,2519.83,1.59061,0.79995,1.2494,0.82777,0.73319,0.80172,0.42515,1.53782,0.7605,1.37062,0.00901,0.00901,0.00901
12,2732.69,1.58805,0.79533,1.2545,0.81885,0.74266,0.8077,0.43313,1.53434,0.75311,1.36429,0.008911,0.008911,0.008911
13,2945.19,1.56818,0.77415,1.24315,0.80328,0.76152,0.78905,0.4333,1.47561,0.73351,1.33787,0.008812,0.008812,0.008812
14,3164.94,1.55456,0.76013,1.23846,0.83575,0.76559,0.8413,0.458,1.48596,0.70314,1.33836,0.008713,0.008713,0.008713
15,3386.06,1.54748,0.75367,1.23142,0.81132,0.74678,0.7931,0.42685,1.52953,0.7507,1.36438,0.008614,0.008614,0.008614
16,3606.55,1.54453,0.74641,1.23007,0.84112,0.77604,0.8286,0.45675,1.47045,0.7074,1.32748,0.008515,0.008515,0.008515
17,3826.5,1.52741,0.73576,1.22281,0.86199,0.77455,0.84267,0.46611,1.46486,0.69003,1.32144,0.008416,0.008416,0.008416
18,4047.25,1.51881,0.72666,1.21709,0.85976,0.78883,0.8585,0.47162,1.46512,0.68203,1.32282,0.008317,0.008317,0.008317
19,4268.63,1.51408,0.72173,1.21429,0.85147,0.79407,0.84343,0.47306,1.43125,0.66501,1.30203,0.008218,0.008218,0.008218
20,4489.75,1.51172,0.71599,1.21386,0.86331,0.79365,0.86222,0.48398,1.43399,0.65579,1.30348,0.008119,0.008119,0.008119
21,4709.8,1.50704,0.71269,1.21282,0.87176,0.80357,0.8735,0.48805,1.43926,0.64866,1.30638,0.00802,0.00802,0.00802
22,4930.47,1.49903,0.70507,1.21057,0.85785,0.81779,0.8746,0.49122,1.4384,0.65175,1.30511,0.007921,0.007921,0.007921
23,5151.77,1.49538,0.70231,1.20312,0.88276,0.81158,0.87859,0.49784,1.41231,0.6325,1.29258,0.007822,0.007822,0.007822
24,5372.18,1.49099,0.69801,1.20786,0.87176,0.81334,0.87942,0.4972,1.42834,0.63679,1.30093,0.007723,0.007723,0.007723
25,5593.13,1.47921,0.69,1.19614,0.87633,0.81456,0.87852,0.49756,1.41813,0.6313,1.29123,0.007624,0.007624,0.007624
26,5813.58,1.47688,0.68646,1.19687,0.88092,0.82848,0.88954,0.50984,1.39955,0.62161,1.28043,0.007525,0.007525,0.007525
27,6033.72,1.47615,0.68639,1.19865,0.88411,0.82669,0.89022,0.50918,1.39942,0.62273,1.27953,0.007426,0.007426,0.007426
28,6253.94,1.47263,0.68245,1.19366,0.88864,0.83838,0.89664,0.51313,1.39719,0.61459,1.2791,0.007327,0.007327,0.007327
