epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.903,2.76525,2.065,2.14987,0.46825,0.46279,0.43445,0.15393,2.29239,1.41142,1.94441,0.0700477,0.00332803,0.00332803
2,785.14,2.04137,1.28136,1.52989,0.60634,0.56596,0.58745,0.26343,1.84275,1.23358,1.6189,0.0399817,0.00659542,0.00659542
3,1160.3,1.94948,1.19257,1.44828,0.59822,0.58208,0.60441,0.26823,1.83777,1.19862,1.57887,0.0098498,0.00979681,0.00979681
4,1534.05,1.86258,1.10752,1.39444,0.67415,0.60484,0.6298,0.30178,1.7365,1.08674,1.50905,0.009703,0.009703,0.009703
5,1907.45,1.78213,1.0112,1.34961,0.70416,0.59923,0.6464,0.30543,1.7542,1.10726,1.50435,0.009604,0.009604,0.009604
6,2280.58,1.72241,0.94569,1.31189,0.73692,0.62638,0.69841,0.35024,1.65117,0.94484,1.44927,0.009505,0.009505,0.009505
7,2653.87,1.67956,0.90406,1.29358,0.74511,0.66654,0.72525,0.37,1.60028,0.89617,1.40952,0.009406,0.009406,0.009406
8,3027.22,1.64945,0.87207,1.27985,0.75985,0.66313,0.73349,0.36441,1.64384,0.97431,1.43514,0.009307,0.009307,0.009307
9,3399.66,1.62949,0.85058,1.26853,0.80083,0.71956,0.79389,0.42102,1.5362,0.79184,1.36404,0.009208,0.009208,0.009208
10,3772.65,1.60665,0.82238,1.25126,0.77141,0.70065,0.75944,0.39611,1.57565,0.81944,1.38864,0.009109,0.009109,0.009109
11,4146.58,1.59081,0.80699,1.24496,0.82539,0.74137,0.80466,0.42757,1.51834,0.77499,1.35908,0.00901,0.00901,0.00901
12,4519.69,1.57531,0.79385,1.23889,0.81334,0.75387,0.81741,0.43641,1.51374,0.76014,1.34932,0.008911,0.008911,0.008911
13,4892.95,1.55614,0.77763,1.22963,0.81896,0.73208,0.80998,0.43023,1.55655,0.77684,1.37017,0.008812,0.008812,0.008812
14,5266.75,1.5547,0.77685,1.22778,0.84485,0.754,0.82839,0.44321,1.54405,0.7774,1.36858,0.008713,0.008713,0.008713
15,5639.88,1.54133,0.76357,1.22168,0.84355,0.76408,0.83172,0.45778,1.46548,0.71854,1.31905,0.008614,0.008614,0.008614
